Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
09/25/2026 21:27:18,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:18,System.Runtime,Gen 1 Size (B),Metric,4182192
09/25/2026 21:27:18,System.Runtime,Gen 2 Size (B),Metric,33259120
09/25/2026 21:27:18,System.Runtime,LOH Size (B),Metric,41544600
09/25/2026 21:27:18,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:18,System.Runtime,Number of Assemblies Loaded,Metric,135
09/25/2026 21:27:18,System.Runtime,IL Bytes Jitted (B),Metric,2021060
09/25/2026 21:27:18,System.Runtime,Number of Methods Jitted,Metric,21488
09/25/2026 21:27:18,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,579.7271000000001
09/25/2026 21:27:20,System.Runtime,CPU Usage (%),Metric,25.9765625
09/25/2026 21:27:20,System.Runtime,Working Set (MB),Metric,536.18688
09/25/2026 21:27:20,System.Runtime,GC Heap Size (MB),Metric,82.922752
09/25/2026 21:27:20,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:20,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:20,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:20,System.Runtime,Gen 0 GC Budget (MB),Metric,6
09/25/2026 21:27:20,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:20,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,164
09/25/2026 21:27:20,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:20,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,413
09/25/2026 21:27:20,System.Runtime,Allocation Rate (B / 2 sec),Rate,2346072
09/25/2026 21:27:20,System.Runtime,Number of Active Timers,Metric,17
09/25/2026 21:27:20,System.Runtime,GC Fragmentation (%),Metric,0.6295138937708852
09/25/2026 21:27:20,System.Runtime,GC Committed Bytes (MB),Metric,86.708224
09/25/2026 21:27:20,System.Runtime,Exception Count (Count / 2 sec),Rate,0
09/25/2026 21:27:20,System.Runtime,% Time in GC since last GC (%),Metric,2
09/25/2026 21:27:20,System.Runtime,Time paused by GC (ms / 2 sec),Rate,16.937999999999988
09/25/2026 21:27:20,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:20,System.Runtime,Gen 1 Size (B),Metric,6021640
09/25/2026 21:27:20,System.Runtime,Gen 2 Size (B),Metric,33259120
09/25/2026 21:27:20,System.Runtime,LOH Size (B),Metric,41544600
09/25/2026 21:27:20,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:20,System.Runtime,Number of Assemblies Loaded,Metric,135
09/25/2026 21:27:20,System.Runtime,IL Bytes Jitted (B),Metric,2191711
09/25/2026 21:27:20,System.Runtime,Number of Methods Jitted,Metric,23207
09/25/2026 21:27:20,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,1547.9876999999997
09/25/2026 21:27:22,System.Runtime,CPU Usage (%),Metric,25.390625
09/25/2026 21:27:22,System.Runtime,Working Set (MB),Metric,545.927168
09/25/2026 21:27:22,System.Runtime,GC Heap Size (MB),Metric,75.352568
09/25/2026 21:27:22,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,3
09/25/2026 21:27:22,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,2
09/25/2026 21:27:22,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:22,System.Runtime,Gen 0 GC Budget (MB),Metric,6
09/25/2026 21:27:22,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:22,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,168
09/25/2026 21:27:22,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:22,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,430
09/25/2026 21:27:22,System.Runtime,Allocation Rate (B / 2 sec),Rate,8838664
09/25/2026 21:27:22,System.Runtime,Number of Active Timers,Metric,16
09/25/2026 21:27:22,System.Runtime,GC Fragmentation (%),Metric,14.146023505135172
09/25/2026 21:27:22,System.Runtime,GC Committed Bytes (MB),Metric,89.694208
09/25/2026 21:27:22,System.Runtime,Exception Count (Count / 2 sec),Rate,9
09/25/2026 21:27:22,System.Runtime,% Time in GC since last GC (%),Metric,0
09/25/2026 21:27:22,System.Runtime,Time paused by GC (ms / 2 sec),Rate,42.537000000000035
09/25/2026 21:27:22,System.Runtime,Gen 0 Size (B),Metric,625024
09/25/2026 21:27:22,System.Runtime,Gen 1 Size (B),Metric,1873280
09/25/2026 21:27:22,System.Runtime,Gen 2 Size (B),Metric,39131648
09/25/2026 21:27:22,System.Runtime,LOH Size (B),Metric,41653824
09/25/2026 21:27:22,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
09/25/2026 21:27:22,System.Runtime,Number of Assemblies Loaded,Metric,135
09/25/2026 21:27:22,System.Runtime,IL Bytes Jitted (B),Metric,2321155
09/25/2026 21:27:22,System.Runtime,Number of Methods Jitted,Metric,24707
09/25/2026 21:27:22,System.Runtime,Time spent in JIT (ms / 2 sec),Rate,1187.8405000000002
09/25/2026 21:27:24,System.Runtime,CPU Usage (%),Metric,22.8515625
09/25/2026 21:27:24,System.Runtime,Working Set (MB),Metric,548.671488
09/25/2026 21:27:24,System.Runtime,GC Heap Size (MB),Metric,79.21656
09/25/2026 21:27:24,System.Runtime,Gen 0 GC Count (Count / 2 sec),Rate,1
09/25/2026 21:27:24,System.Runtime,Gen 1 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:24,System.Runtime,Gen 2 GC Count (Count / 2 sec),Rate,0
09/25/2026 21:27:24,System.Runtime,Gen 0 GC Budget (MB),Metric,6
09/25/2026 21:27:24,System.Runtime,ThreadPool Thread Count,Metric,6
09/25/2026 21:27:24,System.Runtime,Monitor Lock Contention Count (Count / 2 sec),Rate,186
09/25/2026 21:27:24,System.Runtime,ThreadPool Queue Length,Metric,0
09/25/2026 21:27:24,System.Runtime,ThreadPool Completed Work Item Count (Count / 2 sec),Rate,427
09/25/2026 21:27:24,System.Runtime,Allocation Rate (B / 2 sec),Rate,6620800
09/25/2026 21:27:24,System.Runtime,Number of Active Timers,Metric,16
09/25/2026 21:27:24,System.Runtime,GC Fragmentation (%),Metric,13.567644894118612
09/25/2026 21:27:24,System.Runtime,GC Committed Bytes (MB),Metric,90.80832
09/25/2026 21:27:24,System.Runtime,Exception Count (Count / 2 sec),Rate,8
09/25/2026 21:27:24,System.Runtime,% Time in GC since last GC (%),Metric,0
09/25/2026 21:27:24,System.Runtime,Time paused by GC (ms / 2 sec),Rate,9.156000000000006
09/25/2026 21:27:24,System.Runtime,Gen 0 Size (B),Metric,0
09/25/2026 21:27:24,System.Runtime,Gen 1 Size (B),Metric,3204056
09/25/2026 21:27:24,System.Runtime,Gen 2 Size (B),Metric,39131648
09/25/2026 21:27:24,System.Runtime,LOH Size (B),Metric,41653824
09/25/2026 21:27:24,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,1108336
